station_name,description,latitude,longitude,source_group,source_url,status_note
AP&M 1st Floor Lobby,No details provided,32.8792673,-117.2409801,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
AP&M 2nd Floor Lobby,No details provided,32.8792673,-117.2409801,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
RIMAC 1,There are 3 hydration stations in RIMAC,32.8852206,-117.2403967,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
RIMAC 2,There are 3 hydration stations in RIMAC,32.8852713,-117.2396484,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
RIMAC 3,There are 3 hydration stations in RIMAC,32.885381,-117.239324,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Biomed Library,1st Floor Lobby,32.8755347,-117.2366631,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Canyonview Pool,Hydration station located by locker rooms,32.8807225,-117.2316957,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Geisel 6th Floor,There are 4 hydration stations in Geisel,32.8811088,-117.2375804,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Geisel 2nd Floor,There are 4 hydration stations in Geisel,32.8811392,-117.2374047,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Geisel 8th Floor,There are 4 hydration stations in Geisel,32.881111,-117.2375549,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Telemed 1st Floor,There are 2 hydration stations in Telemed,32.8752712,-117.2346246,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Telemed 3rd Floor,There are 2 hydration stations in Telemed,32.8753252,-117.2347319,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Price Center-1st Floor,Next to Burger King,32.879988,-117.235832,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Warren Commuter Lounge,No details provided,32.8814365,-117.2338817,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Center Hall,1st Floor - Near the Restrooms,32.87815,-117.236824,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Student Services Center,1st Floor - Near the stair case and restroom,32.8787087,-117.2356385,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
SIO Administration Building,No details provided,32.8649974,-117.254221,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Deep Sea Drilling West,No details provided,32.86754,-117.251647,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Eckart Building,Second Floor,32.867141,-117.252537,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Student Activity Center,No details provided,32.882403,-117.233182,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Dogg House,No details provided,32.8778572,-117.2332594,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Warren Residential Life Office,No details provided,32.8840216,-117.2333439,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
The Village Residential Life Office,Outside the Lodge,32.8781,-117.230301,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
ERC Great Hall,downstairs between the bathrooms,32.883966,-117.2419363,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Marshall's Residential Life Office,No details provided,32.8831773,-117.2428181,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Fireside Lounge,No details provided,32.8821776,-117.2387713,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
ERC Laundry South,No details provided,32.884637,-117.243122,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Goldberg Hall Laundry Room,Laundry Room,32.8830966,-117.2338361,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Argo Hall,No details provided,32.8744512,-117.2415447,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Muir Across from Roots,between the bathrooms,32.8790153,-117.2425509,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Muir - Roots,No details provided,32.8789866,-117.242615,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Pines,No details provided,32.8790009,-117.2424476,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Goody's Market,No details provided,32.882921,-117.240461,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Blake Hall,No details provided,32.875037,-117.241523,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
OceanView Terrace Restaurant,No details provided,32.883182,-117.242714,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Cafe Ventanas,No details provided,32.88611,-117.242661,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Canyon Vista,Inside next to the television and outside next to the main entrance.,32.8839864,-117.2330922,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Foodworx,No details provided,32.878812,-117.23043,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Seventh College East,The hydration center is at the outside laundry room aka The Soap Bar,32.8882166,-117.2418723,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Tamarack Apartments,Between bathrooms behind John's Market,32.8782233,-117.2423279,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Black Hall Laundry Room,Laundry Room,32.8821235,-117.232672,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
The Village Apartments Laundry Room,Building 300,32.8788213,-117.229405,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Seventh College Tower West,Hydration station located in the 15th floor conference room,32.8886127,-117.2422528,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Matthews Building B,Laundry Room,32.8786974,-117.2308002,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Seventh College West Building 3,Laundry Room,32.8874753,-117.2427759,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
ERC East Upper Laundry Room,by Kathmandu House,32.8852815,-117.2418841,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
ERC POP Offices,Between bathrooms upstairs of Cafe V,32.8859831,-117.2425184,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Marshall Uppers Laundry Room,Building J Near hammock lounge,32.8830696,-117.2415823,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
P Building Res Halls,Laundry Room,32.8835268,-117.2429314,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
V Building Res Hall,Laundry room,32.8830223,-117.2431353,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Keeling Apartment Building 2,Ground floor facing south basketball courts,32.8737258,-117.2432493,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Revelle - Rogers Market,Hallway by Amazon lockers,32.8745143,-117.2423279,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Rita Atkinson Residences,4th floor gym,32.8727549,-117.2350645,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Q Building Res Hall,Laundry room,32.8835516,-117.243138,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Mesa Nueva,2 by the leasing office,32.8756316,-117.2228229,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Mesa Nueva - Fitness Center,No details provided,32.8750003,-117.2235953,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Mesa Apartments - Bldg 9156,Laundry Building. In the nook across from the restrooms.,32.8721506,-117.2221383,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Seventh College West Building 2,Downstairs by the bathroom,32.8880586,-117.2424969,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
OMS Leasing Office/Lounge,"Outside, on the first floor",32.873865,-117.2257905,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Nuevo West,1 near Fitness Center. 1 near Game Room restrooms.,32.8745228,-117.2248646,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Nuevo East,2 at Exchange Building.,32.8746414,-117.2186881,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Coast,1 in Laundry Room,32.8701292,-117.2469013,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Nuevo East,1 at the Fitness Center,32.8750448,-117.219354,HDH Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
